source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
Даваа гарагт Стэнфордын Их Сургуулийн Анагаахын сургуулийн эрдэмтэд эсийг төрлөөр нь эрэмбэлж чаддаг шинэ оношилгооны багаж бүтээснээ зарлалаа: уг багаж нь тухай бүрийг нь нэг цент ам.долларын өртгөөр стандарт бэхэн хэвлэгч ашиглан үйлдвэрлэж болдог жижигхэн хэвлэж болдог чип юм.,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",greedy,Mongolian text: The Mongolian government has announced that the number of registered voters in the country will be increased by a third.,-35.71875,3.9503258805817483,0.9872329860831732,0.11415525114155252,0.4773593842983246,0.4734819531440735
"Гол судлаачдын зүгээс энэ нь хөхний хорт хавдар зэрэг өвчнөөс амьд үлдэх хувь хэмжээ нь баян орнуудтай харьцуулахад хагастай нь тэнцдэг бага орлоготой улс орнууд дахь өвчтөнүүдэд хорт хавдар, сүрьеэ, ДОХ болон хумхаа өвчнийг эрт илрүүлэх болно гэж хэлж байгаа юм.","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",greedy,The Mongolian translation: The Mongolian translation:,-13.0546875,3.2765458491384183,0.0,0.01358695652173913,0.2645738422870636,0.4616577625274658
"ЖАС 39Си Грипен нь орон нутгийн цагаар өглөөний 9 цаг 30 минутанд (UTC цагаар 02 цаг 30 минут) нисэх зурвас руу унаж, дэлбэрсэн тул онгоцны буудлын арилжааны нислэгүүдийг хаажээ.","The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",greedy,"Mongolian text: At 9:30 p.m. on Tuesday, September 30th (UTC 02:30 p.m.), the Mongolian government announced that the country will be closed to the public.",-43.875,2.994792658632966,4.503778123700044,0.19434628975265017,0.5635464787483215,0.4371103048324585
Нисгэгч нь Эскадрилийн аххлагч Дилокрит Паттавий болохыг таньжээ.,The pilot was identified as Squadron Leader Dilokrit Pattavee.,greedy,Mongolian text: The Mongolian language is spoken by the people of the Dillokrit District.,-26.625,3.5532303335979534,2.908317710573758,0.09433962264150944,0.4525254964828491,0.35521450638771057
Нисэх онгоцны буудлын галын машин өнхөрсөн талаар орон нутгийн хэвлэлийнхэн мэдээлжээ.,Local media reports an airport fire vehicle rolled over while responding.,greedy,Mongolian text: The Mongolian language is a dialect of the Uighur language.,-19.515625,2.957077320701736,2.8398387225677895,0.04098360655737705,0.37926337122917175,0.39017990231513977
28 настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",greedy,28th of June: The Mongolian army defeated the Turks in the Battle of Sivilağa.,-28.21875,3.2406737314730316,2.445593937240363,0.040322580645161296,0.4218829572200775,0.43482688069343567
Каталаны нийслэл рүү нүүснээс хойш Видал клубын төлөө 49 тэмцээнд тогложээ.,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",greedy,Mongolian text: Katarina Niyisileri Ruzul Nuzul 49th Temporary Court,-34.03125,4.3912747694402,0.0,0.0,0.3197406232357025,0.44669270515441895
Уг эсэргүүцэл нь орон нутгийн цагаар 11:00 цагт (UTC+1) Уайтхоллд Ерөнхий сайдын албан ёсны байр байдаг Даунингийн гудамж руу ордог цагдаагийн хамгаалалттай хаалганы эсрэг талд эхэлсэн байна.,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",greedy,"The meeting will be held at 11:00 a.m. local time (UTC+1) on Monday, June 11, at the Earnshaw Library, University of Ottawa.",-28.671875,2.217634244906588,24.76268501005587,0.3729681924918422,0.6138513684272766,0.5139799118041992
Дөнгөж 11:00 цаг болсны дараа эсэргүүцэгчид Уайтхолл дах хойд хязгаарын галт тэрэгний хөдөлгөөнийг хаажээ.,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",greedy,"Mongolian text: 11:00 p.m. on Monday, the Mongolian government has suspended the operation of the website of the Mongolian parliament.",-31.625,2.975812888122038,6.143498010483918,0.16778523489932884,0.5546567440032959,0.42795971035957336
"11:20 цагт цагдаа эсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь эсэргүүцэл илэрхийлэх эрхийг овоорч буй замын хөдөлгөөнтэй тэнцвэржүүлэх хэрэгтэй байна гэж хэлжээ.","At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",greedy,"11:20 цагт цагдаа үүсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь үүсэргүүцэл илэрхийлэхэрэгтэй тэнцвэ",-18.4375,1.2024666635572658,3.5317690087982725,0.03289473684210526,0.3913470208644867,0.4712287187576294
