source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
Op maandag kondigden wetenschappers van de Stanford University School of Medicine aan dat een nieuw diagnostisch hulpmiddel is uitgevonden dat cellen op type kan ordenen: een piepkleine af te drukken chip die voor waarschijnlijk ongeveer één dollarcent per stuk kan worden geproduceerd met behulp van standaard inkjetprinters.,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",greedy,"On Wednesday, the Stanford University School of Medicine announced that a new diagnostic test was developed that can order cells by type: a small pie-piece that can be cut into a single chip that can be printed at a standard inkjet printer.",-42.5625,2.4271524768306802,28.577784740423397,0.5472324579885299,0.7622469067573547,0.7018280029296875
"Hoofdonderzoekers zeggen dat dit kan leiden tot een vroege opsporing van kanker, tuberculose, HIV en malaria bij patiënten in arme landen. Hier zijn de overlevingskansen bij een aandoening als borstkanker de helft minder dan in rijke landen.","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",greedy,"The Dutch government has decided to make it compulsory for all patients to have a vaccination against tuberculosis, HIV and malaria.",-28.265625,3.247009357475542,8.526351190122776,0.19425587467362926,0.5565416216850281,0.5990952849388123
De JAS 39C Gripen stortte rond 09.30 uur lokale tijd (02.30 UTC) neer op de landingsbaan en ontplofte. De luchthaven is hierdoor gesloten voor commerciële vluchten.,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",greedy,JAS 39C Gripen stortte rond 09.30 am local time (0230 UTC) was seen on the runway. The landing zone was closed for commercial flights.,-23.46875,1.885683850537981,28.769988019628357,0.5859490855165594,0.6666889190673828,0.5732020735740662
De piloot werd geïdentificeerd als majoor Dilokrit Pattavee.,The pilot was identified as Squadron Leader Dilokrit Pattavee.,greedy,"The pilot was Dilokrit Pattavee, a major.",-5.609375,1.4534765876706504,20.90067144241744,0.5681818181818182,0.7578765153884888,0.8289673924446106
De lokale media meldt dat er tijdens een actie op de luchthaven een brandweerwagen is gekanteld.,Local media reports an airport fire vehicle rolled over while responding.,greedy,The local media are reporting that a brand new car has been stolen from a garage.,-13.2265625,2.0850837614012643,2.719665272174911,0.2525,0.5842499136924744,0.4547048509120941
De 28-jaar oude Vidal is drie seizoenen geleden van Sevilla naar Barça overgestapt.,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",greedy,On 28 January Vidal joined Sevilla from Barcelona for a reported fee of €28 million.,-9.359375,1.6819692469749916,3.8275613602956104,0.2016129032258065,0.702139139175415,0.5238040089607239
Sinds hij verhuisde naar de Catalaanse hoofdstad heeft hij 49 wedstrijden gespeeld voor de club.,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",greedy,I am looking for a cat in the area of the Catalan club. I am 49 years old.,-22.03125,2.8551007825626673,5.039518688486958,0.1935483870967742,0.39021167159080505,0.39189863204956055
"Het protest begon rond 11.00 lokale tijd (UTC+1) op Whitehall, tegenover de door politie bewaakte ingang van Downing Street, de ambtswoning van de premier.","The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",greedy,"The protest started at 11:00 local time (UTC+1) on Whitehall, opposite the police station, near Downing Street, the prime minister's office.",-14.0703125,1.5522372318061373,50.37255667587406,0.7696781049443148,0.868249237537384,0.8002691268920898
Iets na 11.00 uur begonnen betogers het verkeer op de rijbaan in noordelijke richting in Whitehall te blokkeren.,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",greedy,"At 11.00 this morning, protesters blocked traffic on the northbound carriageway in Whitehall.",-14.9921875,2.041967268500581,46.029511774162025,0.7063829787234043,0.9273964762687683,0.8512415885925293
"Om 11:20 vroeg de politie aan de demonstranten om weer op de stoep te gaan staan, waarbij zij het recht aanhaalde om het recht op protest af te wegen tegen het toenemende verkeer.","At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",greedy,"11:20 The demonstrators are protesting against the government's decision to close the border, and they are demanding that the border be reopened.",-30.234375,2.8364822928861297,5.470235093452622,0.19169329073482427,0.69557785987854,0.5324445366859436
"Vanaf 11.29 uur verplaatsten de demonstranten zich richting Whitehall, langs Trafalgar Square, de Strand, Aldwych en Kingsway naar Holborn. Hier werd het Spring Forum van de Conservative Party gehouden in het hotel Grand Connaught Rooms.","Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",greedy,"11.29 pm: Protesters from the demonstrators will march on Whitehall, Trafalgar Square, Strand, Aldwych and Kingsway to Holborn. The Spring Forum of the Conservative Party will be held in the hotel Grand Connaught Rooms.",-26.109375,1.5939876607625592,10.864416897288784,0.6079879996008184,0.7684313654899597,0.7032350301742554
Het onderlinge record van Nadal tegen de Canadees is 7-2.,Nadal's head to head record against the Canadian is 7–2.,greedy,Nadal's record against the Canadian is 7–2.,-4.5703125,1.5151022895629758,59.755798910891144,0.7650100242692836,0.9131409525871277,0.8620483875274658
Eerder leed hij een nederlaag tegen Raonic in de Brisbane Open.,He recently lost against Raonic in the Brisbane Open.,greedy,Dutch player Eerder leed hij een nederlaag tegen Raonic in the Brisbane Open.,-8.1484375,1.4251540188796652,34.98761149110957,0.5755876068376068,0.7501512765884399,0.6125364303588867
