source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",Даваа гарагт Стэнфордын Их Сургуулийн Анагаахын сургуулийн эрдэмтэд эсийг төрлөөр нь эрэмбэлж чаддаг шинэ оношилгооны багаж бүтээснээ зарлалаа: уг багаж нь тухай бүрийг нь нэг цент ам.долларын өртгөөр стандарт бэхэн хэвлэгч ашиглан үйлдвэрлэж болдог жижигхэн хэвлэж болдог чип юм.,greedy,"Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",-8.765625,1.1875293827631006,1.0009398039350847,0.024154589371980676,0.33927372097969055,0.23283308744430542
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Гол судлаачдын зүгээс энэ нь хөхний хорт хавдар зэрэг өвчнөөс амьд үлдэх хувь хэмжээ нь баян орнуудтай харьцуулахад хагастай нь тэнцдэг бага орлоготой улс орнууд дахь өвчтөнүүдэд хорт хавдар, сүрьеэ, ДОХ болон хумхаа өвчнийг эрт илрүүлэх болно гэж хэлж байгаа юм.",greedy,Taktulu: U begele bu nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga ku nga,-50.09375,1.6502676716535947,0.0,0.0,0.19127342104911804,0.3268093764781952
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","ЖАС 39Си Грипен нь орон нутгийн цагаар өглөөний 9 цаг 30 минутанд (UTC цагаар 02 цаг 30 минут) нисэх зурвас руу унаж, дэлбэрсэн тул онгоцны буудлын арилжааны нислэгүүдийг хаажээ.",greedy,"JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",-7.6875,1.2537047164741926,1.8232807384311607,0.0771604938271605,0.43056720495224,0.31689539551734924
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Нисгэгч нь Эскадрилийн аххлагч Дилокрит Паттавий болохыг таньжээ.,greedy,Pilot was identified as Squadron Leader Dilokrit Pattavee.,-2.3828125,1.1605868487073274,4.767707020457095,0.05555555555555555,0.4003434479236603,0.3324800431728363
Local media reports an airport fire vehicle rolled over while responding.,Нисэх онгоцны буудлын галын машин өнхөрсөн талаар орон нутгийн хэвлэлийнхэн мэдээлжээ.,greedy,Media reports an airport fire vehicle rolled over while responding.,-5.1484375,1.5357770252473888,3.42209762272661,0.04201680672268908,0.30391326546669006,0.24396979808807373
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,greedy,Vidal 28 tuổi từng chơi cho Sevilla trong 3 mùa giải.,-10.28125,2.2053040369142205,4.02724819242185,0.09009009009009009,0.5316806435585022,0.8164703249931335
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",Каталаны нийслэл рүү нүүснээс хойш Видал клубын төлөө 49 тэмцээнд тогложээ.,greedy,Vidal va jugar 49 partits a la capital catalana.,-8.7265625,2.210732400648895,4.085507150363302,0.0847457627118644,0.46875470876693726,0.8234053254127502
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",Уг эсэргүүцэл нь орон нутгийн цагаар 11:00 цагт (UTC+1) Уайтхоллд Ерөнхий сайдын албан ёсны байр байдаг Даунингийн гудамж руу ордог цагдаагийн хамгаалалттай хаалганы эсрэг талд эхэлсэн байна.,greedy,"Protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",-7.2578125,1.245994133541725,13.964303924963906,0.15067567567567566,0.44098708033561707,0.3419022858142853
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Дөнгөж 11:00 цаг болсны дараа эсэргүүцэгчид Уайтхолл дах хойд хязгаарын галт тэрэгний хөдөлгөөнийг хаажээ.,greedy,"11:00 PM, protesters blocked traffic on the northbound carriage in Whitehall.",-5.39453125,1.4009606825656615,9.199687889663757,0.06756756756756756,0.39016425609588623,0.27809497714042664
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","11:20 цагт цагдаа эсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь эсэргүүцэл илэрхийлэх эрхийг овоорч буй замын хөдөлгөөнтэй тэнцвэржүүлэх хэрэгтэй байна гэж хэлжээ.",greedy,"11:20, police asked the protesters to move back to the pavement, stating that they needed to balance the right to protest with the traffic building up.",-10.359375,1.3822746906806256,5.072624986933127,0.057034220532319393,0.4092719256877899,0.22869014739990234
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Эсэргүүцэгчид 11:29 цагийн орчимд Уитхалл руу хөдөлж, Трафалгарын талбай дээгүүр, Алдвичийн дэргэдүүр өнгөрч, Кингсвэй хот руу Гранд Коннаут Рүүмс зочид буудалд зохион байгуулагдаж байгаа Консерватив намын хаврын чуулганы зүг явлаа.",greedy,"11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",-11.2265625,1.235927788718977,4.017770018477444,0.07225433526011561,0.28424331545829773,0.2354988157749176
Nadal's head to head record against the Canadian is 7–2.,Надаль Канадын эсрэг амжилт тогтоож 7–2 оноотой байна.,greedy,Nadal's head to head record against the Canadian is 7–2.,-3.185546875,1.2555064820182193,4.456882760699064,0.10752688172043011,0.49788782000541687,0.2598994970321655
He recently lost against Raonic in the Brisbane Open.,Тэрээр саяхан Брисбэйний нээлттэй тэмцээнд Раоникт ялагджээ.,greedy,Raonic recently lost against him in the Brisbane Open.,-5.75390625,1.6152539477466727,4.196114906296549,0.06097560975609756,0.3847174346446991,0.35402366518974304
Nadal bagged 88% net points in the match winning 76 points in the first serve.,"Надал эхний гаргалтаараа 76 оноогоор тэмцээнд ялан, 88%-ийн цэвэр оноо авчээ.",greedy,Nadal bagged 88% net points in the match winning 76 points in the first serve.,-2.04296875,1.1135183320770383,5.439330544349823,0.20764802631578946,0.41717812418937683,0.2569235861301422
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Тэмцээний дараа Шаврын хаан ""Хамгийн чухал арга хэмжээний эцсийн шатанд эргэж ирж байгаадаа би баяртай байна. Энэ тэмцээнд ялахыг хичээхээр ирлээ"" гэжээ.",greedy,"King of Clay said: ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",-8.734375,1.3138335250220035,1.5883027492953543,0.07490636704119849,0.32636094093322754,0.27464354038238525
"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""Панамын баримт"" бичиг бол 2016 оны хавар хэвлэлд цацагдсан Панамын ""Моссак Фонсека"" хуулийн фирмийн арван сая орчим баримт бичгүүдийн халхавч хэллэг юм.",greedy,"""Panama Papers"" is a term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",-7.8515625,1.2686154848112907,1.9626728448746968,0.07407407407407407,0.4099887013435364,0.35797232389450073
The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,Арван дөрвөн банк чинээлэг үйлчлүүлэгчиддээ татвар болон бусад зохицуулалтаас зайлсхийхийн тулд хэдэн тэрбум ам.долларын хөрөнгөө нуухад нь тусалсан болохыг уг баримт бичиг харуулжээ.,greedy,Documents showed 14 banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,-6.25,1.328553702872422,1.431306716763,0.02109704641350211,0.40806514024734497,0.22381818294525146
